IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
WHOSIS_000015,Life expectancy at age 60 (years),text,EUR,Europe,Country,ARM,Armenia,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,19.42,,,,,,19.42,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,EUR,Europe,Country,MDA,Republic of Moldova,Year,2015,false,Sex,Female,FMLE,,,,,,,,,,19.53,,,,,,19.53,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,AFR,Africa,Country,SYC,Seychelles,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,19.53,,,,,,19.53,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,EUR,Europe,Country,TKM,Turkmenistan,Year,2015,false,Sex,Female,FMLE,,,,,,,,,,19.55,,,,,,19.55,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2015,false,Sex,Male,MLE,,,,,,,,,,19.59,,,,,,19.59,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,AMR,Americas,Country,BRA,Brazil,Year,2015,false,Sex,Male,MLE,,,,,,,,,,19.65,,,,,,19.65,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,EMR,Eastern Mediterranean,Country,BHR,Bahrain,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,19.67,,,,,,19.67,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2015,false,Sex,Female,FMLE,,,,,,,,,,19.72,,,,,,19.72,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,PHL,Philippines,Year,2015,false,Sex,Female,FMLE,,,,,,,,,,19.74,,,,,,19.74,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,AMR,Americas,Country,LCA,Saint Lucia,Year,2015,false,Sex,Male,MLE,,,,,,,,,,19.8,,,,,,19.8,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,AMR,Americas,Country,SUR,Suriname,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,19.84,,,,,,19.84,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,EUR,Europe,Country,BIH,Bosnia and Herzegovina,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,19.85,,,,,,19.85,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,AMR,Americas,Country,GTM,Guatemala,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,19.85,,,,,,19.85,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,EUR,Europe,Country,TUR,Türkiye,Year,2015,false,Sex,Male,MLE,,,,,,,,,,19.85,,,,,,19.85,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,AMR,Americas,Country,JAM,Jamaica,Year,2015,false,Sex,Male,MLE,,,,,,,,,,19.87,,,,,,19.87,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,EUR,Europe,Country,ROU,Romania,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,19.87,,,,,,19.87,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,19.89,,,,,,19.89,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,EMR,Eastern Mediterranean,Country,TUN,Tunisia,Year,2015,false,Sex,Male,MLE,,,,,,,,,,19.89,,,,,,19.89,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,AMR,Americas,Country,VEN,Venezuela (Bolivarian Republic of),Year,2015,false,Sex,Male,MLE,,,,,,,,,,19.89,,,,,,19.89,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,EUR,Europe,Country,HUN,Hungary,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,19.9,,,,,,19.9,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,AMR,Americas,Country,NIC,Nicaragua,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,19.91,,,,,,19.91,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,EMR,Eastern Mediterranean,Country,BHR,Bahrain,Year,2015,false,Sex,Female,FMLE,,,,,,,,,,19.95,,,,,,19.95,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,EMR,Eastern Mediterranean,Country,QAT,Qatar,Year,2015,false,Sex,Male,MLE,,,,,,,,,,20.06,,,,,,20.06,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,AMR,Americas,Country,VCT,Saint Vincent and the Grenadines,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,20.09,,,,,,20.09,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,EUR,Europe,Country,ALB,Albania,Year,2015,false,Sex,Male,MLE,,,,,,,,,,20.13,,,,,,20.13,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,20.13,,,,,,20.13,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,AFR,Africa,Country,MUS,Mauritius,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,20.16,,,,,,20.16,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2015,false,Sex,Female,FMLE,,,,,,,,,,20.23,,,,,,20.23,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,AMR,Americas,Country,DOM,Dominican Republic,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,20.24,,,,,,20.24,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,EUR,Europe,Country,KGZ,Kyrgyzstan,Year,2015,false,Sex,Female,FMLE,,,,,,,,,,20.24,,,,,,20.24,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,AMR,Americas,Country,PRY,Paraguay,Year,2015,false,Sex,Male,MLE,,,,,,,,,,20.25,,,,,,20.25,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,EMR,Eastern Mediterranean,Country,SAU,Saudi Arabia,Year,2015,false,Sex,Female,FMLE,,,,,,,,,,20.26,,,,,,20.26,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,EUR,Europe,Country,LTU,Lithuania,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,20.32,,,,,,20.32,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,AMR,Americas,Country,CUB,Cuba,Year,2015,false,Sex,Male,MLE,,,,,,,,,,20.34,,,,,,20.34,,,EN,2020-12-03T23:00:00.000Z
